model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,training_time_seconds
XGBoost,0.94577,0.9736620801946716,0.9621053624153558,0.967849223946785,0.9842409232759003,0.9972697589823838,5.62247109413147
Random Forest,0.92487,0.9957431258534584,0.9153588203747032,0.953860420556156,0.9825205307584429,0.9969791466456783,28.007004976272583
Logistic Regression,0.91964,0.9925417641966204,0.9121351241447186,0.9506412461304112,0.9782168349946051,0.9962329855255917,4.982421398162842
Dummy Classifier,0.848405,0.848405,1.0,0.9179860474300816,0.5,0.848405,0.29834961891174316
