feature,importance
lead_time_days,0.8164787
week,0.061801247
month,0.03814787
promo_days_last_7,0.016567335
trend_7_30,0.01361035
rolling_std_30,0.008135022
rolling_mean_7,0.0064667272
sales,0.006444539
rolling_mean_14,0.0053648464
rolling_mean_30,0.005246302
is_weekend,0.0051299473
weekday,0.0047682114
promo,0.0024738174
year,0.0017333587
price,0.001602369
rolling_price_mean_30,0.0014243418
sales_lag_14,0.0013253359
sales_lag_1,0.0012912466
sales_lag_30,0.0010695946
sales_lag_7,0.00091883074
